2018-12-20 14:36:28,661 INFO  [Log] End test: generateInvitation 
2018-12-20 14:39:45,234 INFO  [Log] Start test: generateInvitation 
2018-12-20 14:39:49,367 INFO  [Log] generateInvitation: Pasa 
2018-12-20 14:39:49,367 INFO  [Log] End test: generateInvitation 
2018-12-20 14:39:54,141 INFO  [Log] Sent message successfully.... 
2018-12-20 16:57:07,141 INFO  [Log] Start test: generateInvitation 
2018-12-20 16:57:26,130 INFO  [Log]  
2018-12-20 16:57:26,130 INFO  [Log] End test: generateInvitation 
2018-12-20 16:58:36,593 INFO  [Log] Start test: generateInvitation 
2018-12-20 16:59:25,021 INFO  [Log]  
2018-12-20 16:59:25,022 INFO  [Log] End test: generateInvitation 
2018-12-20 17:04:21,522 INFO  [Log] Start test: generateInvitation 
2018-12-20 17:05:38,578 INFO  [Log]  
2018-12-20 17:05:38,578 INFO  [Log] End test: generateInvitation 
2018-12-20 17:05:44,422 INFO  [Log] Start test: generateInvitation 
2018-12-20 17:06:07,728 INFO  [Log]  
2018-12-20 17:06:07,728 INFO  [Log] End test: generateInvitation 
2018-12-20 17:08:35,135 INFO  [Log] Start test: generateInvitation 
2018-12-20 17:08:47,354 INFO  [Log]  
2018-12-20 17:08:47,354 INFO  [Log] End test: generateInvitation 
2018-12-21 09:32:52,976 INFO  [Log] Start test: generateInvitation 
2018-12-21 09:32:52,977 INFO  [Log]  
2018-12-21 09:32:52,977 INFO  [Log] End test: generateInvitation 
2018-12-21 09:33:34,449 INFO  [Log] Start test: generateInvitation 
2018-12-21 09:33:34,449 INFO  [Log]  
2018-12-21 09:33:34,449 INFO  [Log] End test: generateInvitation 
2018-12-21 09:34:22,241 INFO  [Log] Start test: generateInvitation 
2018-12-21 09:34:22,241 INFO  [Log]  
2018-12-21 09:34:22,241 INFO  [Log] End test: generateInvitation 
2018-12-21 09:35:35,544 INFO  [Log] Start test: generateInvitation 
2018-12-21 09:35:35,545 INFO  [Log]  
2018-12-21 09:35:35,545 INFO  [Log] End test: generateInvitation 
2018-12-21 09:36:26,384 INFO  [Log] Start test: generateInvitation 
2018-12-21 09:36:26,385 INFO  [Log]  
2018-12-21 09:36:26,385 INFO  [Log] End test: generateInvitation 
2018-12-21 14:41:46,759 INFO  [Log] Start test: generateInvitation 
2018-12-21 14:42:09,754 INFO  [Log] End test: generateInvitation 
2018-12-21 14:42:15,522 INFO  [Log] Sent message successfully.... 
2018-12-21 14:42:51,723 INFO  [Log] Start test: generateInvitation 
2018-12-21 14:42:51,724 INFO  [Log]  
2018-12-21 14:42:51,724 INFO  [Log] End test: generateInvitation 
2018-12-21 14:43:22,709 INFO  [Log] Start test: generateInvitation 
2018-12-21 14:43:39,457 INFO  [Log] End test: generateInvitation 
2018-12-21 14:43:44,989 INFO  [Log] Sent message successfully.... 
2018-12-21 14:46:07,615 INFO  [Log] Start test: generateInvitation 
2018-12-21 14:50:50,436 INFO  [Log] Start test: generateInvitation 
2018-12-21 14:50:50,436 INFO  [Log]  
2018-12-21 14:50:50,436 INFO  [Log] End test: generateInvitation 
2018-12-21 14:52:07,831 INFO  [Log] Start test: generateInvitation 
2018-12-21 14:52:07,832 INFO  [Log]  
2018-12-21 14:52:07,832 INFO  [Log] End test: generateInvitation 
2018-12-21 14:54:44,150 INFO  [Log] Start test: generateInvitation 
2018-12-21 14:55:06,006 INFO  [Log] End test: generateInvitation 
2018-12-21 14:55:11,514 INFO  [Log] Sent message successfully.... 
2018-12-21 14:55:35,514 INFO  [Log] Start test: generateInvitation 
2018-12-21 14:56:00,808 INFO  [Log] generateInvitation: Pasa 
2018-12-21 14:56:00,808 INFO  [Log] End test: generateInvitation 
2018-12-21 14:56:05,815 INFO  [Log] Sent message successfully.... 
2018-12-21 15:00:25,416 INFO  [Log] Start test: generateInvitation 
2018-12-21 15:01:37,315 INFO  [Log] generateInvitation: Pasa 
2018-12-21 15:01:37,315 INFO  [Log] End test: generateInvitation 
2018-12-21 15:01:44,608 INFO  [Log] Sent message successfully.... 
2018-12-21 15:17:56,920 INFO  [Log] Start test: generateInvitation 
2018-12-21 15:19:51,134 INFO  [Log] Start test: generateInvitation 
2018-12-21 15:21:25,374 INFO  [Log]  
2018-12-21 15:21:25,374 INFO  [Log] generateInvitation: Falla 
2018-12-21 15:21:25,374 INFO  [Log] End test: generateInvitation 
2018-12-21 15:21:59,804 INFO  [Log] Start test: generateInvitation 
2018-12-21 15:22:12,964 INFO  [Log] no such frame: element is not a frame
  (Session info: chrome=71.0.3578.98)
  (Driver info: chromedriver=2.40.565498 (ea082db3280dd6843ebfb08a625e3eb905c4f5ab),platform=Windows NT 10.0.15063 x86_64) (WARNING: The server did not provide any stacktrace information)
Command duration or timeout: 0 milliseconds
Build info: version: '3.14.0', revision: 'aacccce0', time: '2018-08-02T20:19:58.91Z'
System info: host: 'SMSL044', ip: '100.1.10.235', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_171'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, acceptSslCerts: false, applicationCacheEnabled: false, browserConnectionEnabled: false, browserName: chrome, chrome: {chromedriverVersion: 2.40.565498 (ea082db3280dd6..., userDataDir: C:\Users\ntedesco\AppData\L...}, cssSelectorsEnabled: true, databaseEnabled: false, handlesAlerts: true, hasTouchScreen: false, javascriptEnabled: true, locationContextEnabled: true, mobileEmulationEnabled: false, nativeEvents: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: XP, platformName: XP, rotatable: false, setWindowRect: true, takesHeapSnapshot: true, takesScreenshot: true, unexpectedAlertBehaviour: , unhandledPromptBehavior: , version: 71.0.3578.98, webStorageEnabled: true}
Session ID: c702c1260f385f07eb77217510a74c2d 
2018-12-21 15:22:12,964 INFO  [Log] generateInvitation: Falla 
2018-12-21 15:22:12,964 INFO  [Log] End test: generateInvitation 
2018-12-21 15:22:18,553 INFO  [Log] Sent message successfully.... 
2018-12-21 15:22:37,998 INFO  [Log] Start test: generateInvitation 
2018-12-21 15:23:22,546 INFO  [Log] no such frame: element is not a frame
  (Session info: chrome=71.0.3578.98)
  (Driver info: chromedriver=2.40.565498 (ea082db3280dd6843ebfb08a625e3eb905c4f5ab),platform=Windows NT 10.0.15063 x86_64) (WARNING: The server did not provide any stacktrace information)
Command duration or timeout: 0 milliseconds
Build info: version: '3.14.0', revision: 'aacccce0', time: '2018-08-02T20:19:58.91Z'
System info: host: 'SMSL044', ip: '100.1.10.235', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_171'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, acceptSslCerts: false, applicationCacheEnabled: false, browserConnectionEnabled: false, browserName: chrome, chrome: {chromedriverVersion: 2.40.565498 (ea082db3280dd6..., userDataDir: C:\Users\ntedesco\AppData\L...}, cssSelectorsEnabled: true, databaseEnabled: false, handlesAlerts: true, hasTouchScreen: false, javascriptEnabled: true, locationContextEnabled: true, mobileEmulationEnabled: false, nativeEvents: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: XP, platformName: XP, rotatable: false, setWindowRect: true, takesHeapSnapshot: true, takesScreenshot: true, unexpectedAlertBehaviour: , unhandledPromptBehavior: , version: 71.0.3578.98, webStorageEnabled: true}
Session ID: e74d556fd98c3adcf348e87a7875cd17 
2018-12-21 15:23:22,547 INFO  [Log] generateInvitation: Falla 
2018-12-21 15:23:22,547 INFO  [Log] End test: generateInvitation 
2018-12-21 15:24:15,936 INFO  [Log] Start test: generateInvitation 
2018-12-21 15:24:56,618 INFO  [Log] generateInvitation: Pasa 
2018-12-21 15:24:56,618 INFO  [Log] End test: generateInvitation 
2018-12-21 15:25:01,777 INFO  [Log] Sent message successfully.... 
2018-12-21 15:26:06,890 INFO  [Log] Start test: generateInvitation 
2018-12-21 15:27:18,624 INFO  [Log] Start test: generateInvitation 
2018-12-21 15:29:46,268 INFO  [Log] Start test: generateInvitation 
2018-12-21 15:31:05,010 INFO  [Log] Start test: generateInvitation 
2018-12-21 15:39:16,878 INFO  [Log] Start test: generateInvitation 
2018-12-21 15:53:18,216 INFO  [Log] Start test: generateInvitation 
2018-12-21 15:54:01,828 INFO  [Log]  
2018-12-21 15:54:01,828 INFO  [Log] generateInvitation: Falla 
2018-12-21 15:54:01,828 INFO  [Log] End test: generateInvitation 
2018-12-21 15:54:30,906 INFO  [Log] Start test: generateInvitation 
2018-12-21 15:55:55,086 INFO  [Log] Expected condition failed: waiting for value to contain "Invitación Enviada.". Current value: "null" (tried for 30 second(s) with 500 milliseconds interval)
Build info: version: '3.14.0', revision: 'aacccce0', time: '2018-08-02T20:19:58.91Z'
System info: host: 'SMSL044', ip: '100.1.10.235', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_171'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, acceptSslCerts: false, applicationCacheEnabled: false, browserConnectionEnabled: false, browserName: chrome, chrome: {chromedriverVersion: 2.40.565498 (ea082db3280dd6..., userDataDir: C:\Users\ntedesco\AppData\L...}, cssSelectorsEnabled: true, databaseEnabled: false, handlesAlerts: true, hasTouchScreen: false, javascriptEnabled: true, locationContextEnabled: true, mobileEmulationEnabled: false, nativeEvents: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: XP, platformName: XP, rotatable: false, setWindowRect: true, takesHeapSnapshot: true, takesScreenshot: true, unexpectedAlertBehaviour: , unhandledPromptBehavior: , version: 71.0.3578.98, webStorageEnabled: true}
Session ID: a8f3445826477a8c4759d220ccfb3079 
2018-12-21 15:55:55,087 INFO  [Log] generateInvitation: Falla 
